target_index,source_binding_target_id,source_side,bound_raw_key,bound_candidate_scoring_id,admission_readiness,admission_status,field_pin_status,source_row_count,scalar_leaf_count,candidate_object_id,provenance_chain_complete,semantics_choice_available
64,9cdb29bd53262637917848f3564e7dc674e2929af993040a25b09c1b4abfa6e2,RAW,6000007::S08::A006,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,48,,NO,NO
65,ebacca1c06e5f291d65588f6d10e3ac7a00244cd1c9716470ed32dfbfed8f133,RAW,6000007::S08::A007,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,45,,NO,NO
66,276aea4d92aef5a6b83d15f552724eaf3f8150b417c2aac7af61461bef125ee6,RAW,6000007::S09::A002,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,50,,NO,NO
67,f314cc8bf4519c53e9e530efe70135e7ed595329f05782e1924079ee3df0da65,RAW,6000007::S09::A003,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,49,,NO,NO
68,7870965a8c0a6a4134b75c21b7abfe75934e9ac9f660a185ae18383f96667c43,RAW,6000007::S09::A004,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,45,,NO,NO
69,c7496ab05aae05712b07c6bc86bae52b88266d921fe47c11d09daded98619e91,RAW,6000007::S10::A002,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,53,,NO,NO
70,0babe7e53fceda8642ff07170ca62815b7410f4dde84e13f8812cd8e65706d3f,RAW,6000007::S11::A002,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,1,18,,NO,NO
71,8b55f183b40419351d98baf72ce02f2346a38b50d21f06756083a356ed1b3a80,RAW,6000007::S11::A004,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,46,,NO,NO
72,ccbeb989f2329c317104526130a387e1f549ea82360d9b6910f68f0b0b921e69,RAW,6000008::S01::A006,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,47,,NO,NO
73,4d3c0be2ff40f2c3ec65bdcbef4cbd583726997eb02e7e6d95d5c34be4b582e5,RAW,6000008::S02::A001,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,47,,NO,NO
74,9269b718ff72d5f9ded670803d80c198ba8672cb67d512956f0c02a4d752ed8b,RAW,6000008::S02::A003,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,46,,NO,NO
75,1090a1f314e7cd56a7fff26f1d3e48c367480370dab8fe5e0bf65b72bc2feb90,RAW,6000008::S02::A004,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,45,,NO,NO
76,1d9a3eb918c48d1ba6f8104a4c122b50c6e2aeb33e57a67484e435d9ab657f86,RAW,6000008::S02::A005,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,1,18,,NO,NO
77,19859ba06e6176f99878de6e09db7a9c3558ff5d0c9978befc2d5bfe3391dd50,RAW,6000008::S03::A001,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,45,,NO,NO
78,5fa3bb82a9204988bf51fc66fe0c8158292116399b7afdace9f7957c2b967f28,RAW,6000008::S03::A005,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,44,,NO,NO
79,88ef0352febf5adc77af2d4cf2fe13a2462f303d1f939ffe1286cc793f9f18c0,RAW,6000008::S04::A002,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,45,,NO,NO
80,eb49a623dd01981f99fdb3400586adfd9a7dbb60af7bf6cfbd81dc35f5cdeac9,RAW,6000008::S05::A001,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,44,,NO,NO
81,3293532eba93cc86dc3326f2fa546aaba309845cba2a593c50783e3860fbf9a6,RAW,6000008::S05::A004,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,1,18,,NO,NO
82,20546557dbbe9dccf1301f148ad3244bff865fb955ec5f4763eda3d24e1dff79,RAW,6000008::S05::A006,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,1,18,,NO,NO
83,99a1cada354ae27159a05c68f0d895efda9f8ac436615904ea09dd507e207f59,RAW,6000008::S06::A002,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,49,,NO,NO
84,522d695a351e92bf1fa9e675c955c3553d41f61a5bf1b3f7469a89bbf0863d47,RAW,6000008::S07::A002,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,49,,NO,NO
